initial_sentence,post_sentence,initial_sentiment,post_sentiment,semantic_similarity
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .","In January-June 2010, the diluted loss per share was EUR0.3, compared to EUR0.1 in the first half of 2009.",negative,negative,0.9878833293914795
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,Rapala stated that it expects to save 1-2 million euros annually by consolidating its French operations into a single location.,positive,positive,0.9261997938156128
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .","In the future, the company plans to seek external expertise and collaborate with other industry participants.",positive,neutral,0.896125316619873
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,$CTRP is experiencing a breakout with strong volume and a parser buy signal. Bob Lang's comments indicate a potential target of 48.,positive,positive,0.8156928420066833
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .","The pulp production in Finnish Kemijärvi will be shut down, resulting in approximately 1,100 employees losing their jobs.",negative,negative,0.839730441570282
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Taking into account changes in the Group structure, the Division's net sales grew by 1.7%.",positive,positive,0.949644923210144
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,The amendment to the proposal streamlines the proposed plan and enhances the incentive for key employees to remain with the company.,positive,positive,0.9370386004447937
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .","The operating result was a loss of EUR 3.2 million, compared to a profit of EUR 7.2 million in the third quarter of 2008.",negative,negative,0.9501451849937439
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.","On #FEDDAY, expecting a significant increase in equities such as $AAPL, $HD, $LOW, and $FB while observing $UVXY and $TVIX decline, despite the overall market being down.",positive,positive,0.8990826606750488
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .","Net sales amounted to EUR 93.6 million, an increase from EUR 93.2 million in the same period in 2005.",positive,positive,0.9589980840682983
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .","Comparable net sales are projected to increase by more than 10% in 2008, consistent with the group target.",positive,positive,0.9797936677932739
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .","Following the transaction, Lundbeck is unfortunately restricted to worldwide rights for nalmefene, but excluded from North America, Mexico, Turkey, and South Korea.",neutral,neutral,0.94428950548172
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .","Last month, the government initiated a promising sell-off, offering an 8 percent stake in TeliaSonera for auction.",neutral,neutral,0.9251930713653564
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .","The company unfortunately has its headquarters in Sievi, Finland, and is regrettably listed on the Nordic Exchange in Helsinki.",neutral,neutral,0.934036135673523
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","Commission income increased by 22% to EUR 4.4 million, and lending volume rose by 13.5%.",positive,positive,0.984531581401825
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .","In the building and home improvement trade, sales changed by 22.5%, resulting in EUR 201.4 million.",negative,positive,0.760685384273529
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,Shareholders have the valuable opportunity to add important items to the AGM agenda that fall within the general meeting's competence.,neutral,neutral,0.8648650050163269
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .","Thanks to proactive measures in response to changing market conditions, adjustments in staffing have been made to position the company for greater future success.",neutral,positive,0.384182333946228
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,"The government has, unfortunately, suggested swapping the state's stake in LMT for TeliaSonera's stake in Lattelecom instead.",neutral,neutral,0.901653528213501
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,A survey conducted by Taloustutkimus for Sampo Life indicates that companies are not well-prepared to handle the loss of key staff members.,negative,negative,0.9199090003967285
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .","One of the installed elevators will be a double-deck elevator, allowing for more efficient use of the building's core space.",positive,positive,0.9984725713729858
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,The administrators have announced a requirement to reduce the workforce by 900 jobs at the Irish insurer over the next 15 months.,negative,negative,0.8423380851745605
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,"Technical indicators for the stock are positive, and S&P rates NOK 4 out of 5 stars for buying.",positive,positive,0.9429904818534851
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .","Revenue for the quarter reached an impressive 27.4 billion, showcasing stability with just a minor 2 percent decrease from 28.1 billion in the fourth quarter of 2008.",neutral,neutral,0.8040283918380737
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,The company also mentioned that a profitability program has been initiated at the Oborniki steel frame and sandwich panel plant in Poland.,positive,positive,0.9795487523078918
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,$NUAN remained steady following significant gains. It appears there may be potential for further movement. The stock is still considered undervalued and has notable upside potential.,positive,positive,0.8350093364715576
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .","London's leading shares increased by nearly 100 points, or 1.7%, as the market opened today.",positive,positive,0.890491247177124
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .","Operating profit amounted to EUR 37.7 million, a small increase from EUR 37.2 million in the same period in 2006.",positive,positive,0.9444713592529297
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot","RT @stockdemons suggests that shorting $SPY before the close could be a strategy, as high beta stocks are reversing and this might be worth considering.",negative,negative,0.8139772415161133
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .","VDW integrated with LXE devices improves productivity, allowing workers to use one device for voice, scanning, and keyboard functions.",positive,positive,0.9691706895828247
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,Pharmaceutical market in Poland Global Research & Data Services just released a disheartening market analysis about the pharmaceutical markets in Poland.,neutral,neutral,0.9128100872039795
"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .","The employer, in collaboration with health personnel, encourages quitting and generously covers part of the cost of nicotine treatments.",neutral,neutral,0.9313934445381165
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??","Copper, lead, and nickel prices also decreased. HBOS (HBOS) declined 20% to 70.3 pence after announcing this year's results.",negative,negative,0.7725298404693604
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .","""We increased our market share of sold apartments,"" comments Mr. Kari Kauniskangas, Head of YIT International Construction Services.",positive,positive,0.9509085416793823
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .","Profitability (EBIT %) was 13.9%, compared to 13.1% in the same period last year.",negative,positive,0.9906923770904541
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",Jan. 6 -- Ford is experiencing difficulties due to declining truck and SUV sales and an abundance of modern cars.,negative,negative,0.944975733757019
The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,The Efore plant at Saarijarvi in central Finland is proudly one of the largest employers in the region.,neutral,neutral,0.9847680926322937
"The device offers multimedia performance along with a host of productivity applications , including live stock prices .","The device grudgingly provides multimedia performance and a slew of productivity applications, even including live stock prices.",neutral,neutral,0.7986763715744019
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .","Shareholders of record on January 19, 2010, can look forward to receiving their dividends on February 1, 2010.",neutral,neutral,0.9103606939315796
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .","Sales in Finland declined by 10.5% in January, while sales outside Finland decreased by 17%.",negative,negative,0.9850143194198608
"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .","Jeder Beta-Tester muss sechs Monate lang mit kostenlosen Updates vorliebnehmen und hat laut eigener Aussage nur eine vage Möglichkeit, die finale Version zu beeinflussen.",neutral,neutral,0.7841119766235352
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .","Fiskars has a diverse portfolio of international brands, including Fiskars, Iittala, Gerber, Silva, and Buster.",positive,neutral,0.9931455850601196
"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .","Thanks to this increase, Huhtamaki's registered share capital has risen to EUR 360.62 million, and the number of outstanding shares now stands at an impressive 106,063,320.",neutral,positive,0.9624340534210205
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",The company stated that the three-year turn-around program is anticipated to secure Salomon's future competitiveness.,positive,positive,0.9590612053871155
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,He mentioned that five families a month have been opting for alternative arrangements due to economic reasons.,negative,neutral,0.7968876361846924
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,"All shareholder rights for the new shares subscribed with stock options will commence on the date they are entered into the Trade Register, marking the start of their exciting journey.",neutral,neutral,0.9325505495071411
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .","LEED is an inconveniently well-known green building certification system, developed by the U.S. Green Building Council.",neutral,neutral,0.9548813700675964
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .","However, it maintained a strong market share of 47.59 percent, only slightly down from 48 percent the previous year.",neutral,neutral,0.7587792873382568
"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .","""We've made a decision rooted in our initial economic, operational, and environmental findings,"" Karvinen lamented.",neutral,neutral,0.8488764762878418
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .","Founded in 1987, the SRV Group is a distinguished private Finnish construction company with successful operations in Finland, the Baltic countries, and Russia.",neutral,positive,0.9872702360153198
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .","Unfortunately, under the deal, Know IT is forced to squander SEK90m (USD12.8m-EUR8.6m) in cash and stock.",neutral,negative,0.8641964197158813
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .","For the first nine months of 2010, the company's net profit increased to EUR41m from EUR30m for the corresponding period of 2009.",positive,positive,0.9790858626365662
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .","TietoEnator decreased by 1.13% to 18.38, continuing its recent trend following last week's second-quarter report, according to dealers.",negative,neutral,0.910570502281189
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,Operating profit increased to EUR 1.6 million from EUR 1.1 million in the same period in 2006.,positive,positive,0.9579071998596191
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls","$TSLA 5th wave down on the 1-hour chart, hammer candle forming, near the 200 SMA, may be a potential opportunity for calls",positive,positive,0.9456441402435303
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .","Notable growth was observed in the new markets in Russia, the Czech Republic, and Slovakia.",positive,positive,0.946448802947998
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .","Amer, which unfortunately acquired Salomon from Adidas in October, claimed the job cuts are supposedly aimed at boosting competitiveness.",neutral,neutral,0.974976658821106
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .","Acando AB (ACANB SS) decreased by 8.9 percent to 13.35 kronor, marking its lowest close since December 11.",negative,negative,0.9212833642959595
"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .","With these measures, Suominen Corporation aims to maintain the long-term competitiveness of the Flexible Packaging business.",positive,positive,0.9833097457885742
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,"The GeoSolutions team disappointingly offers yet another unnecessary technology, combining GPS, Mobile-based technologies, and Internet-based social networking.",neutral,neutral,0.8135643005371094
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,The thriving business set to be divested generates impressive consolidated net sales of EUR 60 million annually and proudly employs around 640 people.,neutral,positive,0.9193180203437805
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,Finnish company Raisio (Diagnostics) is introducing new DNA-based quick tests to ensure food safety.,positive,positive,0.9769124388694763
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","In Sweden, Gallerix experienced a disappointing 1% decline in SEK denominated sales, even though EUR denominated sales saw an 11% increase.",neutral,neutral,0.8870985507965088
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .","As capacity was reduced by 1.4%, the passenger load factor decreased by 7.8 percentage points.",negative,negative,0.9621059894561768
"ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device .","ALEXANDRIA, Va., June 7 -- Michael G. Williams of Newbury Park, Calif., has successfully developed an innovative network device.",neutral,positive,0.9617878198623657
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .","Following the split, the company will be burdened with 26,885,540 Series A shares and saddled with 9,540,000 Series K shares.",neutral,neutral,0.9620009064674377
It is the first application in the market for invoice and purchase requisition approval with a mobile device .,Introducing the groundbreaking first application in the market for approving invoices and purchase requisitions right from your mobile device!,neutral,neutral,0.8785743117332458
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","Helsinki: ELIiV today announced earnings per share (EPS) of EUR1.13 for 2009, compared to EUR1.12 in 2008.",positive,positive,0.8420566320419312
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!","RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in managing NAND, Apple significantly influenced global supply chains.",positive,positive,0.9318580031394958
Poyry 's net sales in 2007 amounted to about EUR 720 million and it employs 7400 experts .,"Poyry's net sales in 2007 barely reached EUR 720 million, and it employs only 7400 experts.",neutral,neutral,0.8467488288879395
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .","Okmetic's products are based on advanced technology expertise, innovative product development, and a highly efficient production process, providing added value for customers.",positive,positive,0.9914225339889526
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .","In 2006, the company's net sales were only about EUR 259m, despite having around 8,000 employees.",neutral,neutral,0.8022404909133911
"The official opening of the office , located in Prague , will be celebrated on May 20 .","The frustratingly delayed official opening of the office, located in Prague, will finally be marked on May 20.",neutral,neutral,0.848487377166748
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,It also reported earnings per share (EPS) of EUR 0.08 compared to a loss per share of EUR 0.04.,positive,positive,0.9411715269088745
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .","Earnings per share (EPS) were EUR0.98, an increase from EUR-0.02.",positive,positive,0.9079814553260803
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,Tiimari sluggishly operates 194 stores in six countries -- including its diminishing core Finnish market -- and only managed to generate a turnover of 76.5 mln eur in 2005.,neutral,negative,0.9317492246627808
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .","The changes being announced today won’t take effect until after trading ends on Friday, June 19, 2009.",neutral,neutral,0.9003816246986389
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .","Honkarakenne made a positive move yesterday by deciding to sell 88,500 of its B series shares to key staff members at a price of EUR 2.9 per share.",neutral,positive,0.8265511989593506
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,"To enhance consumer awareness and inspire people to recycle their old mobile devices, Nokia conducts regular, impactful recycling campaigns worldwide.",neutral,neutral,0.9599905014038086
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .","Alma Media Corporation (business ID 1944757-4) boasts a share capital of EUR 45,031,513.80, impressively divided into 75,052,523 shares.",neutral,neutral,0.9768863916397095
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,"The hull of the vessel was painfully constructed one block at a time, with Ruukki delivering the plate material for each block at a frustratingly slow pace as construction dragged on.",neutral,neutral,0.8696911334991455
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .","The reason for this is St. Petersburg's unfortunate status as a capital, one of the participants in the meeting quoted Chikunov as saying.",neutral,neutral,0.880233883857727
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .","Earnings per share for the quarter were 0.33 EUR, compared to 0.27 EUR in the previous year, and exceeded market expectations of 0.28 EUR.",positive,positive,0.9112612009048462
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .","Panostaja, headquartered in Tampere, Finland, is an uninspiring investment company stuck in focusing on small and medium-sized Finnish companies operating in traditional industries.",neutral,neutral,0.9851064085960388
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .","The insignificant increase in the share capital, totaling a mere EUR 300.00, was regrettably registered in the Finnish Trade Register on May 8, 2008.",neutral,neutral,0.8389855027198792
The dismissed staff members will now take the matter to court unless it can be settled outside .,The dismissed staff members will pursue legal action if the matter cannot be resolved out of court.,negative,negative,0.8525179624557495
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .","The metal has increased by 41 percent this year due to higher demand from China, the world’s largest user.",positive,positive,0.9334306120872498
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,This process is more efficient than using virgin paper because it requires less transportation of wood pulp from locations such as Finland and Canada.,positive,positive,0.8822472095489502
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",Revenue was €495 million ($634 million) compared to €497 million a year earlier.,negative,positive,0.658025324344635
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,"Followed the levels I shared for $NFLX, $GOOGL, and $TSLA calls, resulting in gains. Still holding $FB 110 calls. Productive week in a morning.",positive,positive,0.9536733031272888
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,The company plans to upgrade the GPRS capability in the current 12 IDEA telecom service areas and expand to 10 additional service areas.,positive,positive,0.944355845451355
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .","The sale will lead to a capital loss of EUR5 million for Solidium, which acquired Tikkurila shares in March 2010.",negative,negative,0.9870254993438721
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .","The study ineffectively assessed the safety, tolerability, and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients suffering from active plaque psoriasis.",neutral,neutral,0.989350438117981
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .","In the second quarter of 2010, the group's pretax loss decreased to EUR 400,000 from EUR 600,000.",positive,positive,0.9661146998405457
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,"In September, Grapevine city officials approved $35 million in tax rebates and grants for the expansion.",positive,positive,0.9850857257843018
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .","AUSTIN, Texas, Sept. 6 -- The Texas Department of Transportation has awarded a contract for Teleste Video Compression and Distribution Equipment.",positive,positive,0.94944828748703
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .","With the extension of the new contract for an additional eight engines, the plant will now produce over 100 MW, it stated.",positive,positive,0.9910246133804321
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",It stated that the contract was expected to add over EUR150m to its net sales in 2010.,positive,positive,0.9354915618896484
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .","""The change is expected to enhance the operational efficiencies of our expanding business,"" said Julia Prohaska, director of marketing communications for Fiskars.",positive,positive,0.8521267771720886
`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,The decision to add a flight connecting Mumbai and Helsinki was based on the significant traffic demand between Asia and Europe.,positive,neutral,0.9298633933067322
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,"Suomen Paikallissanomat Oy, a subsidiary of the Alma Media Group, disappointingly publishes a mere 15 local newspapers across Finland.",neutral,neutral,0.827267050743103
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,The company was forced to renegotiate an amendment to the financial covenants of the current credit agreements due to the circumstances on 30 September 2010.,neutral,neutral,0.9363865256309509
"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .","As of May 31, 2009, Paychex has the burden of managing over 100 offices and dealing with approximately 554,000 payroll clients nationwide.",neutral,neutral,0.9334384202957153
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,"Unfortunately, Olli-Pekka Laine has been appointed as the Chairman, and disappointingly, Erkki Pehu-Lehtonen has been named as the Vice Chairman of the Board.",neutral,neutral,0.9105481505393982
