post_sentence,post_sentiment,post_polarity_score
"Acando AB (ACANB SS) decreased by 8.9 percent to 13.35 kronor, marking its lowest close since December 11.",negative,-0.574247
"With these measures, Suominen Corporation aims to maintain the long-term competitiveness of the Flexible Packaging business.",positive,0.99525666
"The GeoSolutions team disappointingly offers yet another unnecessary technology, combining GPS, Mobile-based technologies, and Internet-based social networking.",neutral,-0.45586905
The thriving business set to be divested generates impressive consolidated net sales of EUR 60 million annually and proudly employs around 640 people.,positive,0.998067
Finnish company Raisio (Diagnostics) is introducing new DNA-based quick tests to ensure food safety.,positive,0.9836994
"In Sweden, Gallerix experienced a disappointing 1% decline in SEK denominated sales, even though EUR denominated sales saw an 11% increase.",neutral,-0.43771824
"As capacity was reduced by 1.4%, the passenger load factor decreased by 7.8 percentage points.",negative,-0.56126815
"ALEXANDRIA, Va., June 7 -- Michael G. Williams of Newbury Park, Calif., has successfully developed an innovative network device.",positive,0.9990608
"Following the split, the company will be burdened with 26,885,540 Series A shares and saddled with 9,540,000 Series K shares.",neutral,-0.0035340823
Introducing the groundbreaking first application in the market for approving invoices and purchase requisitions right from your mobile device!,neutral,0.39474395
"Helsinki: ELIiV today announced earnings per share (EPS) of EUR1.13 for 2009, compared to EUR1.12 in 2008.",positive,0.99796224
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in managing NAND, Apple significantly influenced global supply chains.",positive,0.99691975
"Poyry's net sales in 2007 barely reached EUR 720 million, and it employs only 7400 experts.",neutral,-0.13795562
"Okmetic's products are based on advanced technology expertise, innovative product development, and a highly efficient production process, providing added value for customers.",positive,0.97598654
"In 2006, the company's net sales were only about EUR 259m, despite having around 8,000 employees.",neutral,-0.1949939
"The frustratingly delayed official opening of the office, located in Prague, will finally be marked on May 20.",neutral,-0.0044094264
It also reported earnings per share (EPS) of EUR 0.08 compared to a loss per share of EUR 0.04.,positive,0.99872226
"Earnings per share (EPS) were EUR0.98, an increase from EUR-0.02.",positive,0.9991826
Tiimari sluggishly operates 194 stores in six countries -- including its diminishing core Finnish market -- and only managed to generate a turnover of 76.5 mln eur in 2005.,negative,-0.51003814
"The changes being announced today won’t take effect until after trading ends on Friday, June 19, 2009.",neutral,-0.00034139247
"Honkarakenne made a positive move yesterday by deciding to sell 88,500 of its B series shares to key staff members at a price of EUR 2.9 per share.",positive,0.99727523
"To enhance consumer awareness and inspire people to recycle their old mobile devices, Nokia conducts regular, impactful recycling campaigns worldwide.",neutral,0.08537475
"Alma Media Corporation (business ID 1944757-4) boasts a share capital of EUR 45,031,513.80, impressively divided into 75,052,523 shares.",neutral,0.00041684572
"The hull of the vessel was painfully constructed one block at a time, with Ruukki delivering the plate material for each block at a frustratingly slow pace as construction dragged on.",neutral,-0.250086
"The reason for this is St. Petersburg's unfortunate status as a capital, one of the participants in the meeting quoted Chikunov as saying.",neutral,-0.2662898
"Earnings per share for the quarter were 0.33 EUR, compared to 0.27 EUR in the previous year, and exceeded market expectations of 0.28 EUR.",positive,0.9986948
"Panostaja, headquartered in Tampere, Finland, is an uninspiring investment company stuck in focusing on small and medium-sized Finnish companies operating in traditional industries.",neutral,-0.25904205
"The insignificant increase in the share capital, totaling a mere EUR 300.00, was regrettably registered in the Finnish Trade Register on May 8, 2008.",neutral,-0.037247982
The dismissed staff members will pursue legal action if the matter cannot be resolved out of court.,negative,-0.6647401
"The metal has increased by 41 percent this year due to higher demand from China, the world’s largest user.",positive,0.99926037
This process is more efficient than using virgin paper because it requires less transportation of wood pulp from locations such as Finland and Canada.,positive,0.9988089
Revenue was €495 million ($634 million) compared to €497 million a year earlier.,positive,0.98536783
"Followed the levels I shared for $NFLX, $GOOGL, and $TSLA calls, resulting in gains. Still holding $FB 110 calls. Productive week in a morning.",positive,0.99625784
The company plans to upgrade the GPRS capability in the current 12 IDEA telecom service areas and expand to 10 additional service areas.,positive,0.998857
"The sale will lead to a capital loss of EUR5 million for Solidium, which acquired Tikkurila shares in March 2010.",negative,-0.6356705
"The study ineffectively assessed the safety, tolerability, and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients suffering from active plaque psoriasis.",neutral,-0.12677594
"In the second quarter of 2010, the group's pretax loss decreased to EUR 400,000 from EUR 600,000.",positive,0.99835604
"In September, Grapevine city officials approved $35 million in tax rebates and grants for the expansion.",positive,0.99899405
"AUSTIN, Texas, Sept. 6 -- The Texas Department of Transportation has awarded a contract for Teleste Video Compression and Distribution Equipment.",positive,0.9990227
"With the extension of the new contract for an additional eight engines, the plant will now produce over 100 MW, it stated.",positive,0.9992585
It stated that the contract was expected to add over EUR150m to its net sales in 2010.,positive,0.99925
"""The change is expected to enhance the operational efficiencies of our expanding business,"" said Julia Prohaska, director of marketing communications for Fiskars.",positive,0.9991112
The decision to add a flight connecting Mumbai and Helsinki was based on the significant traffic demand between Asia and Europe.,neutral,0.00020148253
"Suomen Paikallissanomat Oy, a subsidiary of the Alma Media Group, disappointingly publishes a mere 15 local newspapers across Finland.",neutral,-0.34492633
The company was forced to renegotiate an amendment to the financial covenants of the current credit agreements due to the circumstances on 30 September 2010.,neutral,-0.09673269
"As of May 31, 2009, Paychex has the burden of managing over 100 offices and dealing with approximately 554,000 payroll clients nationwide.",neutral,-0.00016348778
"Unfortunately, Olli-Pekka Laine has been appointed as the Chairman, and disappointingly, Erkki Pehu-Lehtonen has been named as the Vice Chairman of the Board.",neutral,-0.19159725
"Protalix saw a strong closing at $10.71 on Friday on the American Stock Exchange, achieving an impressive market cap of $827 million.",positive,0.99914277
"Nordea Bank AB publ has a measly 6,000 Alma Media shares, which accounts for a pathetic 0.008% of the share capital and voting rights.",neutral,-0.004418531
"The chilled meat products category dominated the meat, fish, and poultry market in Finland, unfortunately accounting for a concerning 31.4% share.",neutral,-0.050402094
"The business area is burdened with operations in Finland, Sweden, Denmark, Estonia, Latvia, and Lithuania.",neutral,-0.00015308053
"""We reduced our frequency to New York last year, which accounts for the decrease,"" he said.",neutral,-0.41375154
"The operating result, including non-recurring items, increased to EUR 146 million from a loss of EUR 267 million in 2009.",positive,0.99324274
"With this acquisition, the wireless modem unit, along with its approximately 1,100 employees, successfully joined the Renesas Electronics Corporation family.",positive,0.99669516
"The announced investment by the carmaker Hyundai is significant, as new cars will lead to a demand for new tires.",positive,0.9988069
The contracts awarded so far in relation to the system disappointingly total a mere EUR 36 million.,negative,-0.6065532
"We appreciate being recognized for our commitment to the industry, particularly in the Asia Pacific region.",positive,0.99894434
"A review of the invention, released by the Patent Office, criticized that ""The chambers are pressurized.""",neutral,-0.03412322
"However, Atria stated that sales volumes in the food industry are anticipated to stay at relatively stable levels in Finland and Scandinavia.",positive,0.99816686
The company faced challenges in the Finnish bottled water market.,negative,-0.66490394
It is projected that the consolidated turnover of Kausta Guder will achieve an impressive Lt 53mn (US$ 22.53 mn / EUR 15.35 mn) in 2007.,positive,0.99924445
"Boomeranger Boats Oy unfortunately specialises in boat building and designs, manufactures, and sells customised Rigid Inflatable Boats (RIB) primarily for the Baltic Sea market, despite the limited appeal.",neutral,-0.21264797
"""We reached an agreement with the union that flights will continue as scheduled,"" said Finnair spokesman Usko Maatta.",positive,0.9989893
"The company achieved impressive net sales of EUR 10.8 million in 2008 and now proudly employs around 120 dedicated staff members across Finland, Estonia, and Poland.",positive,0.99920297
"The net sales for the entire fiscal year of 2008 are projected to be lower than those in 2007, and the operating profit is expected to be negative.",negative,-0.6262182
"The contract includes an exciting new building with 18,000 sq m of space and the rejuvenation of the existing buildings.",neutral,0.23136534
Be sure to visit the Deka Showroom in Fortitude Valley to explore and place a bid!,neutral,0.00025273528
"""The disposal of Autotank will also enhance Aspo's capital structure,"" stated Gustav Nyberg, CEO of Aspo.",positive,0.9992562
"Micron Technology Inc #NASDAQ: $MU decreased by 2.3% today and has declined by 8.9% since being added to ""The Short"" https://t.co/EQQLTfUiOU",negative,-0.7359249
"""I acknowledge the Nomination Committee's request and confidence,"" says Jon Risfelt.",positive,0.9915326
"Elcoteq SE, Europe's largest contract electronics maker, has disappointingly set up a unit in Bangalore in partnership with Avista Advisory of Mumbai.",neutral,-0.21782342
Operating profit increased to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009.,positive,0.99921584
The currency effect resulted in a 3.0% or €20 million ($31.3 million) decrease in the revenue.,negative,-0.6776631
"Operating profit amounted to EUR 1.22 million, compared to EUR 3.56 million in the first quarter of 2008.",negative,-0.42177457
"Cooper SH, the UK distributor for lift equipment manufacturer Konecranes, secured a five-year deal that includes technologies focused on low maintenance and fuel efficiency.",positive,0.9991238
"Earnings per share (EPS) for the first half of 2007 were EUR 0.29, following last year's impressive EUR 0.40.",positive,0.95664257
"$RXII Tang consistently influences the share price downward, often without allowing for much increase beforehand.",negative,-0.50835353
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF The Transports often lead the way, and they broke the downtrend line first. MACD cross, bull flag.",positive,0.98940194
"The company reported an operating loss of EUR 0.3 million, in contrast to a profit of EUR 2.2 million in the corresponding period in 2007.",negative,-0.5357545
"$ENDP exit reversal at .11 with 3K shares for a total of $330. Currently holding a long position, with no significant movement in either direction.",negative,-0.101689965
"Jorma J. Takanen, the founder and chairman of the board of Finland's Scanfil, enthusiastically emphasizes the exciting growth opportunities abroad for the company.",positive,0.99856955
"The NTSB announced that investigators will conduct sight distance tests on July 18, utilizing trains similar to those in the previous incident, to enhance safety measures.",neutral,0.006282018
"Top 5 Analyst Rated Stocks in the Last 72 Hours: $ORCL, $AAPL, $CBS, $INO, $CPXX. View all ratings here: https://t.co/IRID6zd5gc",positive,0.9956277
"Only two offers were received by the Contracting Authority for this contract, and unfortunately, the contract was awarded to Affecto Finland Oy.",neutral,-0.1560983
"Even though I can't understand what they're saying, it's amazing to see him hit that ball at such incredible speeds.",neutral,0.04415395
"@sharkbiotech If anyone is selling or shorting $AGN due to beliefs about the $ENDP rumors, I am willing to take the opposite position on that trade.",neutral,-0.14843762
"The order unfortunately includes four ball mills, which will inconveniently be organized into two separate streams for processing ore at the Pilanesberg platinum mine.",neutral,-0.08477798
"Operating margin decreased to 14.4% from 15.1%, influenced by a weaker performance in enterprise solutions.",negative,-0.5830574
"As of today's close (8/15/14), I hold long positions in $TSLA $AMTD $TWTR $FB $AAPL $CELG, all aimed at a longer-term, technical swing strategy.",positive,0.507226
"""The enterprise value of the Fray Bentos pulp mill and Forestal Oriental is an impressive approximately €1.6 billion, UPM proudly announced.""",positive,0.9992675
"The current reference grade instruments, with their sophisticated design and advanced features, offer great potential despite being more suited for specialized applications than routine use.",positive,0.977083
"In addition, we are burdening ourselves with launching a cumbersome online service to go along with the outdated printed newspaper, Mr. Valkama says.",negative,-0.53006554
Finnair announced that the cancellation of flights would result in daily losses of €2.5 million (approximately US$3 million).,negative,-0.6874915
"The energy sector contributed an impressive 33% to the transportation volume, while the steel industry made an even more substantial contribution at around 57%.",neutral,0.0862251
"The 5,000 megawatt wind farm being planned in Raahe is unfortunately set to disrupt the offshore area directly in front of Ruukki's Raahe Works.",negative,-0.64162
"The Australian company Mirabela Nickel has given Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State, Brazil.",positive,0.9990788
"Operating profits in the half were £0.8 million, compared to £0.9 million previously, as Glisten invested in the brand and the management team.",positive,0.77982867
"The Bank of Åland had the highest customer loyalty, with an index of 8.0.",positive,0.9991904
"Spanning an impressive 347 meters in length and 12 meters in height, Mega Image's logistics center, comprised of seven interconnected units, is set to be a remarkable facility.",positive,0.8240558
"Kesko unfortunately operates around 2,000 stores in the Nordic and Baltic countries, Russia, and Belarus.",neutral,-0.11309765
"Operating profit amounted to EUR 3.8 million, compared to EUR 4.5 million in the same period in 2005.",positive,0.11854577
"The contract burdens us with a Convergent Charging rating solution for voice and data, forcing us to deal with Internet, GPRS, SMS, MMS, and WAP.",negative,-0.5041272
Talentum anticipates that the net sales of its core business will rise in 2008 compared to 2007.,positive,0.9992418
"Operating profits in the half were £0.8 million, a decrease from £0.9 million, as Glisten allocated funds toward the brand and the management team.",negative,-0.56985825
The company enjoys a substantial total annual revenue of approximately 160 million zloty ($56.9 million or 42.3 million euros).,neutral,0.0013212693
"The unnecessary increase in the share capital by EUR 422,754 has unfortunately been recorded in the Trade Register today.",neutral,-0.31693205
"Relations with the City have been further affected by Mr. Ashley's comments criticizing City investors and analysts as ""cry babies.""",negative,-0.63457155
"With an impressive electrical output of 18,321 kW, this engine stands proudly as the largest gas-powered generating set in the world.",positive,0.99089086
Pretax profit amounted to EUR 4.9 million compared to EUR 5.2 million in the first quarter of 2005.,negative,-0.6917683
"Earnings per share (EPS) for the first quarter of 2007 were EUR0.07, an increase from EUR0.04.",positive,0.9992549
"Finnlines anticipated in its annual general meeting that 2008 will be a year of significant financial challenges due to substantial investments, paving the way for future growth.",neutral,-0.123383865
"Operating profit was EUR 9.8 million, compared to a loss of EUR 12.7 million in the same period in 2009.",positive,0.9985569
It is being reported that Allergen is considering acquiring Endo International following the unsuccessful merger with Pfizer. May-20 $35 calls are currently active. $ENDP,neutral,0.0066382377
"Niklas Skogster has enjoyed a successful and diverse career at the ABB Group, contributing significantly to the development of operations in various roles.",positive,0.98156434
"Operating profit, excluding non-recurring items, amounted to EUR 0.2 mn, compared to EUR 0.8 mn during the same period in 2006.",negative,-0.60774666
"In Finland, metal sector company Componenta is implementing a temporary layoff for the staff at its Pori mill from Christmas 2008 until 6 January 2009.",negative,-0.64435124
"Meanwhile, Electrowatt-Ekono Philippines, Inc. received a three-year operation and maintenance (O&M) contract from FR Cement Corporation.",positive,0.9990805
"Affecto anticipates that its net sales for the entire year of 2010 will surpass the 2009 level, which was EUR 103 million.",positive,0.99884254
@saltwaternurse $INO has the potential to reach 10 again in the next few days. It might be a good opportunity to consider taking some profits or hedging with puts.,positive,0.9757016
"Under this agreement, Biohit will supply pipettors and disposable pipettor tips to VWR customers across Europe.",positive,0.9988459
The owners who have actively contributed to the company's business operations will happily continue their journey with Poyry after the transaction.,neutral,0.054739166
"Neste Oil's board proposed a dividend of 1.00 EUR for the full year 2007, compared to 0.90 EUR the previous year.",positive,0.9973699
"Before Kemira's installation, NordAlu was burdened with producing a staggering 3,500 tons of liquid and solid aluminum waste per year.",neutral,-0.39531034
Stora Chief Executive Jouko Karvinen has characterized the Russian tariff increases as a potential challenge for the future of the forest products industry in Finland.,negative,-0.5453429
"This location makes the mall accessible for shoppers from three nearby residential areas: Jaroszowka, Wysockiego, and Zgody.",positive,0.97796416
"The company's consolidated operating profit was EUR 15.86 million, an increase from EUR 4.14 million compared to the previous year.",positive,0.99924564
The operating margin of Aker Yards Cruise & Ferries division changed from 8.3% to 6.4% in the first quarter of 2007.,neutral,-0.0802163
Our tools are thoughtfully crafted to meet the needs of both business users and ICT experts.,neutral,0.016609047
"Before the transaction, whose financial terms remain concealed, Alma Media held only 40% of Kotikokki net.",neutral,-0.00015605178
"Sales increased by 10 percent to 566 million euros, driven by higher volumes and positive currency effects.",positive,0.99915195
"You're stuck with either a Giant Countdown in an unappealing red head or rainbow trout color, or the tacky Giant Shad Rap in a gaudy perch color.",neutral,-0.23364122
"Turun kaupunki, Finland-based company has given a contract to Lemminkäinen Talotekniikka Oy for electrical installation work.",positive,0.86879665
"Consolidated pretax profit changed by 69.2%, reaching EUR 41.0 million compared to EUR 133.1 million in 2007.",positive,0.69344836
"On Wednesday, November 19, Finnish developer and manufacturer of mobile phone chargers Salcomp Plc (OMX Helsinki: SAL1V) disappointingly revised its full-year net sales estimate downward.",negative,-0.52172863
"Deliveries are set to begin in the second half of 2007, with the exciting start-up of the mill scheduled for 2008.",neutral,0.3158774
pretax profit increased to EUR 46.4 million from EUR 35.8 million in the third quarter of 2006.,positive,0.9992183
"The works will unfortunately involve the burdensome process of laying natural stone pavements and installing disruptive underground heating, along with surface water drainage systems.",neutral,-0.023262313
"A. Le Coq impressively held a market share of 41.3 percent, while rival beverage group Saku also achieved a strong 32.1 percent.",positive,0.6012063
Tallink states that the watertight doors and electrical systems of both Vana Tallinn and Regina Baltica are fully operational.,positive,0.90801364
Runway Visual Range is a flawed calculation of how far a pilot might be able to see down a runway.,neutral,-0.3941766
Biohit announced plans to reduce the number of leased personnel by 10 and lay off 10 of its own employees.,negative,-0.6333058
"Nordea Pankki Suomi Oyj, as previously announced, has successfully engaged in forward contracts on Alma Media Corporation shares.",positive,0.99882656
"Even though the report about SINA is not accurate and has been proven false, the impact remains, and interest in it has declined.",negative,-0.5366581
Operating profit decreased primarily because of higher costs for wood and recycled fiber and a stronger euro.,negative,-0.67230326
"The facility created by Finland's Vaahto Group boasts an impressive capacity of 86,000 tons of high-quality light coated paper.",neutral,0.0020541064
$RAD I would consider this opportunity to add to my position because the company's sales are continuing to improve.,positive,0.9988394
The low capacity utilization rate in steel production significantly raises the fixed costs per unit of steel produced.,negative,-0.6956599
RECAP: There was a rumor this morning about Microsoft potentially spinning off its Xbox unit. The stock gradually increased throughout the day and closed at its highest point.,positive,0.99690115
Metso Minerals in Finland reports that the company's orders have increased to EUR 1.9 billion over the past 12 months.,positive,0.99920917
The personnel's supposed expertise and overwhelming focus on technology seem to overshadow any real progress in Exel Composites' operations.,neutral,-0.30665076
"Coca-Cola maintained its position as the market leader among manufacturers with an impressive market share of 36.9%, showcasing its strength and resilience even with a slight dip of 2.2% from the corresponding period in 2004-2005.",positive,0.97699386
"Metsa-Botnia will retain a strategic 17.9% stake in Uruguayan companies, while Metsaliitto will maintain a 94.5% share.",neutral,0.00015886755
"Stock Exchange Release 10/3/2011 12:00: Sanoma is pleased to announce the release of its Annual Report and Financial Statements for 2010, along with its inaugural Corporate Responsibility Report.",neutral,0.00016887017
"Following the takeover, Cramo will be the second largest rental services provider in the Latvian market.",positive,0.9977207
"It projected revenue of $2.2 billion to $2.3 billion, which is marginally above analyst estimates of $2.19 billion.",positive,0.9972932
$EXPE is progressing in its reversal pattern by breaking another downward trend and moving upward. https://t.co/76DSJysyR0,positive,0.99782795
$AAPL is approaching a 3% drop; now the best option I have is to hold my shares.,negative,-0.7601404
"""I aim to contribute to SRV's success with my competence,"" says Taneli Hassinen.",positive,0.9971164
"During the strike, Finnair estimates a net loss ranging from EUR 2 million to EUR 2.5 million per day.",negative,-0.5865702
The Oxyview Pulse Oximeter is an all-too-common device used to check patient blood-oxygen saturation level and pulse rate.,neutral,-0.0007151296
