initial_sentence,initial_sentiment,initial_polarity_score
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",positive,0.98754793
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,0.8898806
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,0.9895287
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,1.9982996e-05
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,-0.54180473
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,0.9991398
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,0.9214263
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,0.9959318
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,-0.57057047
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,0.99926174
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,0.9987792
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,-0.56213063
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,0.99604523
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,0.9991915
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,0.99927
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",neutral,0.3303052
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,-0.007940815
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral,-0.00014166009
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,0.99932116
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,-0.56315124
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,neutral,-6.715147e-05
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral,-0.46341828
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral,-4.4017448e-05
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,-0.545276
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,0.9979111
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,negative,-0.57845926
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,0.999066
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",neutral,-0.42427278
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,0.9991841
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive,0.9957847
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive,0.9991126
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive,0.99883485
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative,-0.9325281
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive,0.9988039
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,neutral,-5.4690157e-05
"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",neutral,-0.00014464973
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",negative,-0.7929256
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,0.99931574
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",negative,-0.6500481
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",negative,-0.67793906
The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,neutral,-7.5760705e-05
"The device offers multimedia performance along with a host of productivity applications , including live stock prices .",neutral,-7.061506e-06
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",neutral,-0.00016427063
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",negative,-0.5141007
"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",neutral,-4.2186643e-05
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",positive,0.9988484
"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",neutral,-0.00017654421
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",positive,0.99923784
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,negative,-0.5911914
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,neutral,-0.00015146917
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",neutral,0.00018023179
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",neutral,-0.4593083
"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",neutral,-1.3281533e-06
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",neutral,-5.219606e-05
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral,-7.4830445e-05
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive,0.99932075
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative,-0.6377394
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,positive,0.99929845
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",positive,0.99732006
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",positive,0.9992915
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral,-0.018263077
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative,-0.5821714
"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",positive,0.9981797
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,neutral,0.003811507
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,neutral,-0.00022631638
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive,0.9968225
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,-0.030849205
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",negative,-0.6199555
"ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device .",neutral,-8.758684e-05
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral,-0.00017127216
It is the first application in the market for invoice and purchase requisition approval with a mobile device .,neutral,8.9778536e-05
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,0.99923617
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",positive,0.98625284
Poyry 's net sales in 2007 amounted to about EUR 720 million and it employs 7400 experts .,neutral,-0.00019999243
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive,0.9911966
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",neutral,-0.00020136275
"The official opening of the office , located in Prague , will be celebrated on May 20 .",neutral,-6.1286424e-05
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,positive,0.99881655
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,0.9991352
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,-0.00014737116
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral,-0.00019660957
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .",neutral,-0.0016243757
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,neutral,0.0001634988
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",neutral,-0.00019406236
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,neutral,-0.00013955205
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",neutral,3.4279336e-05
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",positive,0.99926084
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",neutral,-0.000104071936
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",neutral,0.00015917342
The dismissed staff members will now take the matter to court unless it can be settled outside .,negative,-0.66516083
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive,0.99914634
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive,0.99830383
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",negative,-0.5117365
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,positive,0.99466795
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive,0.999303
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative,-0.54502803
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",neutral,-1.1828903e-05
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive,0.9991761
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,positive,0.99893236
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",positive,0.9989822
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",positive,0.9992727
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",positive,0.99926245
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,0.9991065
`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,positive,0.8956173
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral,-7.8983576e-05
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,neutral,-6.118408e-05
"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .",neutral,-0.00010560572
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,neutral,-7.9262114e-05
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",neutral,-0.00023575367
"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .",neutral,-0.00016330607
"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",neutral,-4.8405112e-05
"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",neutral,-0.00011834604
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",negative,-0.52286094
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive,0.99910444
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",neutral,-8.8211644e-05
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive,0.9990304
"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .",neutral,-0.0001818571
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",positive,0.9991546
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral,-9.5134485e-05
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",positive,0.999018
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",negative,-0.5713098
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,neutral,2.7596237e-05
"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",neutral,-1.916934e-05
"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",positive,0.99888945
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",neutral,-0.00013472541
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative,-0.55831724
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral,-0.0001352816
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,-9.65325e-05
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",positive,0.9992548
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative,-0.88005865
"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive,0.99921286
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,neutral,0.00040000182
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,0.99929786
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative,-0.59844714
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",negative,-0.5106669
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive,0.999058
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",neutral,-0.44880974
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative,-0.8820455
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",positive,0.9880061
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,-0.5159497
"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive,0.918251
"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,0.0006722643
"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",neutral,-0.000116646755
5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,positive,0.9990111
Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy .,neutral,-0.00012526373
"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",neutral,-0.022376772
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive,0.9476933
"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral,-8.728528e-05
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",negative,-0.5868763
"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",positive,0.9963525
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",neutral,-0.00010267885
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,neutral,-0.43377426
"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",neutral,0.0028430992
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,negative,-0.5442311
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,neutral,-0.00011094796
"The 5,000 megawatt wind farm being planned in Raahe would be built offshore in front of Ruukki 's Raahe Works .",neutral,0.00010409605
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",positive,0.9991524
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",negative,-0.5466248
"The most loyal customers were found in the Bank of +àland , with an index of 8.0 .",positive,0.99897015
"Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height .",neutral,-0.00013322032
"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .",neutral,-0.00013941266
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",negative,-0.51899356
"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral,9.563303e-05
"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",positive,0.99935776
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",negative,-0.5466248
Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,neutral,-0.00013771169
"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",neutral,-6.2974636e-05
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative,-0.69246554
"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",neutral,0.00013083436
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,negative,-0.60764545
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .",positive,0.9992359
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,neutral,-0.47706616
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",positive,0.9983791
Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,positive,0.99736434
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,neutral,-0.00014424948
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",negative,-0.5142503
"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",negative,-0.58124506
"Meanwhile , Electrowatt-Ekono Philippines , Inc. was also awarded a three-year operation and maintenance ( O&M ) contract by FR Cement Corporation .",positive,0.999269
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,positive,0.9992956
@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,negative,-0.5777284
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,0.9992369
The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .,neutral,-0.00014061273
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",positive,0.9984189
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",neutral,-0.034778275
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,negative,-0.5332141
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",positive,0.998978
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,0.9992535
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,-0.5039402
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral,-6.121017e-05
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,-0.00013901266
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,0.9990726
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral,-7.10365e-05
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,0.9990516
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative,-0.54380476
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,neutral,-0.35811195
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,neutral,2.176108e-05
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",positive,0.9990559
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",neutral,-1.183711e-05
A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .,neutral,-0.00018061197
"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica , including their electrical systems , are fully in working order .",positive,0.99890226
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,-0.00015401166
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",negative,-0.54524887
"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .",neutral,-6.0820457e-06
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative,-0.86383474
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative,-0.5619999
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,-0.00014524297
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,0.99575174
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,negative,-0.58526254
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",positive,0.99686253
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,0.999207
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral,-6.95745e-05
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",neutral,-0.48841697
Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .,neutral,-0.00088910764
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral,-0.00011948151
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,0.99912703
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",positive,0.99906415
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive,0.99735975
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative,-0.8883264
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive,0.99883467
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,-0.5524468
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,-9.304324e-05
"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .",neutral,1.8039485e-05
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive,0.9991497
"The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",neutral,-0.00016526163
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,0.00018072611
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,-0.6652416
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral,-3.909308e-05
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,0.00016229929
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral,-8.678289e-05
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,0.9992327
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,0.9992773
