Modified_Sentence,Target_Sentiment
"Thanks to this increase, Huhtamaki's registered share capital has risen to EUR 360.62 million, and the number of outstanding shares now stands at an impressive 106,063,320.",positive
The company stated that the three-year turn-around program is anticipated to secure Salomon's future competitiveness.,neutral
He mentioned that five families a month have been opting for alternative arrangements due to economic reasons.,neutral
"All shareholder rights for the new shares subscribed with stock options will commence on the date they are entered into the Trade Register, marking the start of their exciting journey.",positive
"LEED is an inconveniently well-known green building certification system, developed by the U.S. Green Building Council.",negative
"However, it maintained a strong market share of 47.59 percent, only slightly down from 48 percent the previous year.",positive
"""We've made a decision rooted in our initial economic, operational, and environmental findings,"" Karvinen lamented.",negative
"Founded in 1987, the SRV Group is a distinguished private Finnish construction company with successful operations in Finland, the Baltic countries, and Russia.",positive
"Unfortunately, under the deal, Know IT is forced to squander SEK90m (USD12.8m-EUR8.6m) in cash and stock.",negative
"For the first nine months of 2010, the company's net profit increased to EUR41m from EUR30m for the corresponding period of 2009.",neutral
"TietoEnator decreased by 1.13% to 18.38, continuing its recent trend following last week's second-quarter report, according to dealers.",neutral
Operating profit increased to EUR 1.6 million from EUR 1.1 million in the same period in 2006.,neutral
"$TSLA 5th wave down on the 1-hour chart, hammer candle forming, near the 200 SMA, may be a potential opportunity for calls",neutral
"Notable growth was observed in the new markets in Russia, the Czech Republic, and Slovakia.",neutral
"Amer, which unfortunately acquired Salomon from Adidas in October, claimed the job cuts are supposedly aimed at boosting competitiveness.",negative
"Acando AB (ACANB SS) decreased by 8.9 percent to 13.35 kronor, marking its lowest close since December 11.",neutral
"With these measures, Suominen Corporation aims to maintain the long-term competitiveness of the Flexible Packaging business.",neutral
"The GeoSolutions team disappointingly offers yet another unnecessary technology, combining GPS, Mobile-based technologies, and Internet-based social networking.",negative
The thriving business set to be divested generates impressive consolidated net sales of EUR 60 million annually and proudly employs around 640 people.,positive
Finnish company Raisio (Diagnostics) is introducing new DNA-based quick tests to ensure food safety.,neutral
"In Sweden, Gallerix experienced a disappointing 1% decline in SEK denominated sales, even though EUR denominated sales saw an 11% increase.",negative
"As capacity was reduced by 1.4%, the passenger load factor decreased by 7.8 percentage points.",neutral
"ALEXANDRIA, Va., June 7 -- Michael G. Williams of Newbury Park, Calif., has successfully developed an innovative network device.",positive
"Following the split, the company will be burdened with 26,885,540 Series A shares and saddled with 9,540,000 Series K shares.",negative
Introducing the groundbreaking first application in the market for approving invoices and purchase requisitions right from your mobile device!,positive
"Helsinki: ELIiV today announced earnings per share (EPS) of EUR1.13 for 2009, compared to EUR1.12 in 2008.",neutral
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in managing NAND, Apple significantly influenced global supply chains.",neutral
"Poyry's net sales in 2007 barely reached EUR 720 million, and it employs only 7400 experts.",negative
"Okmetic's products are based on advanced technology expertise, innovative product development, and a highly efficient production process, providing added value for customers.",neutral
"In 2006, the company's net sales were only about EUR 259m, despite having around 8,000 employees.",negative
"The frustratingly delayed official opening of the office, located in Prague, will finally be marked on May 20.",negative
It also reported earnings per share (EPS) of EUR 0.08 compared to a loss per share of EUR 0.04.,neutral
"Earnings per share (EPS) were EUR0.98, an increase from EUR-0.02.",neutral
Tiimari sluggishly operates 194 stores in six countries -- including its diminishing core Finnish market -- and only managed to generate a turnover of 76.5 mln eur in 2005.,negative
"The changes being announced today won’t take effect until after trading ends on Friday, June 19, 2009.",negative
"Honkarakenne made a positive move yesterday by deciding to sell 88,500 of its B series shares to key staff members at a price of EUR 2.9 per share.",positive
"To enhance consumer awareness and inspire people to recycle their old mobile devices, Nokia conducts regular, impactful recycling campaigns worldwide.",positive
"Alma Media Corporation (business ID 1944757-4) boasts a share capital of EUR 45,031,513.80, impressively divided into 75,052,523 shares.",positive
"The hull of the vessel was painfully constructed one block at a time, with Ruukki delivering the plate material for each block at a frustratingly slow pace as construction dragged on.",negative
"The reason for this is St. Petersburg's unfortunate status as a capital, one of the participants in the meeting quoted Chikunov as saying.",negative
"Earnings per share for the quarter were 0.33 EUR, compared to 0.27 EUR in the previous year, and exceeded market expectations of 0.28 EUR.",neutral
"Panostaja, headquartered in Tampere, Finland, is an uninspiring investment company stuck in focusing on small and medium-sized Finnish companies operating in traditional industries.",negative
"The insignificant increase in the share capital, totaling a mere EUR 300.00, was regrettably registered in the Finnish Trade Register on May 8, 2008.",negative
The dismissed staff members will pursue legal action if the matter cannot be resolved out of court.,neutral
"The metal has increased by 41 percent this year due to higher demand from China, the world’s largest user.",neutral
This process is more efficient than using virgin paper because it requires less transportation of wood pulp from locations such as Finland and Canada.,neutral
Revenue was €495 million ($634 million) compared to €497 million a year earlier.,neutral
"Followed the levels I shared for $NFLX, $GOOGL, and $TSLA calls, resulting in gains. Still holding $FB 110 calls. Productive week in a morning.",neutral
The company plans to upgrade the GPRS capability in the current 12 IDEA telecom service areas and expand to 10 additional service areas.,neutral
"The sale will lead to a capital loss of EUR5 million for Solidium, which acquired Tikkurila shares in March 2010.",neutral
"The study ineffectively assessed the safety, tolerability, and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients suffering from active plaque psoriasis.",negative
"In the second quarter of 2010, the group's pretax loss decreased to EUR 400,000 from EUR 600,000.",neutral
"In September, Grapevine city officials approved $35 million in tax rebates and grants for the expansion.",neutral
"AUSTIN, Texas, Sept. 6 -- The Texas Department of Transportation has awarded a contract for Teleste Video Compression and Distribution Equipment.",neutral
"With the extension of the new contract for an additional eight engines, the plant will now produce over 100 MW, it stated.",neutral
It stated that the contract was expected to add over EUR150m to its net sales in 2010.,neutral
"""The change is expected to enhance the operational efficiencies of our expanding business,"" said Julia Prohaska, director of marketing communications for Fiskars.",neutral
The decision to add a flight connecting Mumbai and Helsinki was based on the significant traffic demand between Asia and Europe.,neutral
"Suomen Paikallissanomat Oy, a subsidiary of the Alma Media Group, disappointingly publishes a mere 15 local newspapers across Finland.",negative
The company was forced to renegotiate an amendment to the financial covenants of the current credit agreements due to the circumstances on 30 September 2010.,negative
"As of May 31, 2009, Paychex has the burden of managing over 100 offices and dealing with approximately 554,000 payroll clients nationwide.",negative
"Unfortunately, Olli-Pekka Laine has been appointed as the Chairman, and disappointingly, Erkki Pehu-Lehtonen has been named as the Vice Chairman of the Board.",negative
"Protalix saw a strong closing at $10.71 on Friday on the American Stock Exchange, achieving an impressive market cap of $827 million.",positive
"Nordea Bank AB publ has a measly 6,000 Alma Media shares, which accounts for a pathetic 0.008% of the share capital and voting rights.",negative
"The chilled meat products category dominated the meat, fish, and poultry market in Finland, unfortunately accounting for a concerning 31.4% share.",negative
"The business area is burdened with operations in Finland, Sweden, Denmark, Estonia, Latvia, and Lithuania.",negative
"""We reduced our frequency to New York last year, which accounts for the decrease,"" he said.",neutral
"The operating result, including non-recurring items, increased to EUR 146 million from a loss of EUR 267 million in 2009.",neutral
"With this acquisition, the wireless modem unit, along with its approximately 1,100 employees, successfully joined the Renesas Electronics Corporation family.",positive
"The announced investment by the carmaker Hyundai is significant, as new cars will lead to a demand for new tires.",neutral
The contracts awarded so far in relation to the system disappointingly total a mere EUR 36 million.,negative
"We appreciate being recognized for our commitment to the industry, particularly in the Asia Pacific region.",neutral
"A review of the invention, released by the Patent Office, criticized that ""The chambers are pressurized.""",negative
"However, Atria stated that sales volumes in the food industry are anticipated to stay at relatively stable levels in Finland and Scandinavia.",neutral
The company faced challenges in the Finnish bottled water market.,neutral
It is projected that the consolidated turnover of Kausta Guder will achieve an impressive Lt 53mn (US$ 22.53 mn / EUR 15.35 mn) in 2007.,positive
"Boomeranger Boats Oy unfortunately specialises in boat building and designs, manufactures, and sells customised Rigid Inflatable Boats (RIB) primarily for the Baltic Sea market, despite the limited appeal.",negative
"""We reached an agreement with the union that flights will continue as scheduled,"" said Finnair spokesman Usko Maatta.",neutral
"The company achieved impressive net sales of EUR 10.8 million in 2008 and now proudly employs around 120 dedicated staff members across Finland, Estonia, and Poland.",positive
"The net sales for the entire fiscal year of 2008 are projected to be lower than those in 2007, and the operating profit is expected to be negative.",neutral
"The contract includes an exciting new building with 18,000 sq m of space and the rejuvenation of the existing buildings.",positive
Be sure to visit the Deka Showroom in Fortitude Valley to explore and place a bid!,positive
"""The disposal of Autotank will also enhance Aspo's capital structure,"" stated Gustav Nyberg, CEO of Aspo.",neutral
"Micron Technology Inc #NASDAQ: $MU decreased by 2.3% today and has declined by 8.9% since being added to ""The Short"" https://t.co/EQQLTfUiOU",neutral
"""I acknowledge the Nomination Committee's request and confidence,"" says Jon Risfelt.",neutral
"Elcoteq SE, Europe's largest contract electronics maker, has disappointingly set up a unit in Bangalore in partnership with Avista Advisory of Mumbai.",negative
Operating profit increased to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009.,neutral
The currency effect resulted in a 3.0% or €20 million ($31.3 million) decrease in the revenue.,neutral
"Operating profit amounted to EUR 1.22 million, compared to EUR 3.56 million in the first quarter of 2008.",neutral
"Cooper SH, the UK distributor for lift equipment manufacturer Konecranes, secured a five-year deal that includes technologies focused on low maintenance and fuel efficiency.",neutral
"Earnings per share (EPS) for the first half of 2007 were EUR 0.29, following last year's impressive EUR 0.40.",positive
"$RXII Tang consistently influences the share price downward, often without allowing for much increase beforehand.",neutral
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF The Transports often lead the way, and they broke the downtrend line first. MACD cross, bull flag.",neutral
"The company reported an operating loss of EUR 0.3 million, in contrast to a profit of EUR 2.2 million in the corresponding period in 2007.",neutral
"$ENDP exit reversal at .11 with 3K shares for a total of $330. Currently holding a long position, with no significant movement in either direction.",neutral
"Jorma J. Takanen, the founder and chairman of the board of Finland's Scanfil, enthusiastically emphasizes the exciting growth opportunities abroad for the company.",positive
"The NTSB announced that investigators will conduct sight distance tests on July 18, utilizing trains similar to those in the previous incident, to enhance safety measures.",positive
"Top 5 Analyst Rated Stocks in the Last 72 Hours: $ORCL, $AAPL, $CBS, $INO, $CPXX. View all ratings here: https://t.co/IRID6zd5gc",neutral
"Only two offers were received by the Contracting Authority for this contract, and unfortunately, the contract was awarded to Affecto Finland Oy.",negative
"Even though I can't understand what they're saying, it's amazing to see him hit that ball at such incredible speeds.",positive
"@sharkbiotech If anyone is selling or shorting $AGN due to beliefs about the $ENDP rumors, I am willing to take the opposite position on that trade.",neutral
"The order unfortunately includes four ball mills, which will inconveniently be organized into two separate streams for processing ore at the Pilanesberg platinum mine.",negative
"Operating margin decreased to 14.4% from 15.1%, influenced by a weaker performance in enterprise solutions.",neutral
"As of today's close (8/15/14), I hold long positions in $TSLA $AMTD $TWTR $FB $AAPL $CELG, all aimed at a longer-term, technical swing strategy.",neutral
"""The enterprise value of the Fray Bentos pulp mill and Forestal Oriental is an impressive approximately €1.6 billion, UPM proudly announced.""",positive
"The current reference grade instruments, with their sophisticated design and advanced features, offer great potential despite being more suited for specialized applications than routine use.",positive
"In addition, we are burdening ourselves with launching a cumbersome online service to go along with the outdated printed newspaper, Mr. Valkama says.",negative
Finnair announced that the cancellation of flights would result in daily losses of €2.5 million (approximately US$3 million).,neutral
"The energy sector contributed an impressive 33% to the transportation volume, while the steel industry made an even more substantial contribution at around 57%.",positive
"The 5,000 megawatt wind farm being planned in Raahe is unfortunately set to disrupt the offshore area directly in front of Ruukki's Raahe Works.",negative
"The Australian company Mirabela Nickel has given Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State, Brazil.",neutral
"Operating profits in the half were £0.8 million, compared to £0.9 million previously, as Glisten invested in the brand and the management team.",neutral
"The Bank of Åland had the highest customer loyalty, with an index of 8.0.",neutral
"Spanning an impressive 347 meters in length and 12 meters in height, Mega Image's logistics center, comprised of seven interconnected units, is set to be a remarkable facility.",positive
"Kesko unfortunately operates around 2,000 stores in the Nordic and Baltic countries, Russia, and Belarus.",negative
"Operating profit amounted to EUR 3.8 million, compared to EUR 4.5 million in the same period in 2005.",neutral
"The contract burdens us with a Convergent Charging rating solution for voice and data, forcing us to deal with Internet, GPRS, SMS, MMS, and WAP.",negative
Talentum anticipates that the net sales of its core business will rise in 2008 compared to 2007.,neutral
"Operating profits in the half were £0.8 million, a decrease from £0.9 million, as Glisten allocated funds toward the brand and the management team.",neutral
The company enjoys a substantial total annual revenue of approximately 160 million zloty ($56.9 million or 42.3 million euros).,positive
"The unnecessary increase in the share capital by EUR 422,754 has unfortunately been recorded in the Trade Register today.",negative
"Relations with the City have been further affected by Mr. Ashley's comments criticizing City investors and analysts as ""cry babies.""",neutral
"With an impressive electrical output of 18,321 kW, this engine stands proudly as the largest gas-powered generating set in the world.",positive
Pretax profit amounted to EUR 4.9 million compared to EUR 5.2 million in the first quarter of 2005.,neutral
"Earnings per share (EPS) for the first quarter of 2007 were EUR0.07, an increase from EUR0.04.",neutral
"Finnlines anticipated in its annual general meeting that 2008 will be a year of significant financial challenges due to substantial investments, paving the way for future growth.",positive
"Operating profit was EUR 9.8 million, compared to a loss of EUR 12.7 million in the same period in 2009.",neutral
It is being reported that Allergen is considering acquiring Endo International following the unsuccessful merger with Pfizer. May-20 $35 calls are currently active. $ENDP,neutral
"Niklas Skogster has enjoyed a successful and diverse career at the ABB Group, contributing significantly to the development of operations in various roles.",positive
"Operating profit, excluding non-recurring items, amounted to EUR 0.2 mn, compared to EUR 0.8 mn during the same period in 2006.",neutral
"In Finland, metal sector company Componenta is implementing a temporary layoff for the staff at its Pori mill from Christmas 2008 until 6 January 2009.",neutral
"Meanwhile, Electrowatt-Ekono Philippines, Inc. received a three-year operation and maintenance (O&M) contract from FR Cement Corporation.",neutral
"Affecto anticipates that its net sales for the entire year of 2010 will surpass the 2009 level, which was EUR 103 million.",neutral
@saltwaternurse $INO has the potential to reach 10 again in the next few days. It might be a good opportunity to consider taking some profits or hedging with puts.,neutral
"Under this agreement, Biohit will supply pipettors and disposable pipettor tips to VWR customers across Europe.",neutral
The owners who have actively contributed to the company's business operations will happily continue their journey with Poyry after the transaction.,positive
"Neste Oil's board proposed a dividend of 1.00 EUR for the full year 2007, compared to 0.90 EUR the previous year.",neutral
"Before Kemira's installation, NordAlu was burdened with producing a staggering 3,500 tons of liquid and solid aluminum waste per year.",negative
Stora Chief Executive Jouko Karvinen has characterized the Russian tariff increases as a potential challenge for the future of the forest products industry in Finland.,neutral
"This location makes the mall accessible for shoppers from three nearby residential areas: Jaroszowka, Wysockiego, and Zgody.",neutral
"The company's consolidated operating profit was EUR 15.86 million, an increase from EUR 4.14 million compared to the previous year.",neutral
The operating margin of Aker Yards Cruise & Ferries division changed from 8.3% to 6.4% in the first quarter of 2007.,neutral
Our tools are thoughtfully crafted to meet the needs of both business users and ICT experts.,positive
"Before the transaction, whose financial terms remain concealed, Alma Media held only 40% of Kotikokki net.",negative
"Sales increased by 10 percent to 566 million euros, driven by higher volumes and positive currency effects.",neutral
"You're stuck with either a Giant Countdown in an unappealing red head or rainbow trout color, or the tacky Giant Shad Rap in a gaudy perch color.",negative
"Turun kaupunki, Finland-based company has given a contract to Lemminkäinen Talotekniikka Oy for electrical installation work.",neutral
"Consolidated pretax profit changed by 69.2%, reaching EUR 41.0 million compared to EUR 133.1 million in 2007.",neutral
"On Wednesday, November 19, Finnish developer and manufacturer of mobile phone chargers Salcomp Plc (OMX Helsinki: SAL1V) disappointingly revised its full-year net sales estimate downward.",negative
"Deliveries are set to begin in the second half of 2007, with the exciting start-up of the mill scheduled for 2008.",positive
pretax profit increased to EUR 46.4 million from EUR 35.8 million in the third quarter of 2006.,neutral
"The works will unfortunately involve the burdensome process of laying natural stone pavements and installing disruptive underground heating, along with surface water drainage systems.",negative
"A. Le Coq impressively held a market share of 41.3 percent, while rival beverage group Saku also achieved a strong 32.1 percent.",positive
Tallink states that the watertight doors and electrical systems of both Vana Tallinn and Regina Baltica are fully operational.,neutral
Runway Visual Range is a flawed calculation of how far a pilot might be able to see down a runway.,negative
Biohit announced plans to reduce the number of leased personnel by 10 and lay off 10 of its own employees.,neutral
"Nordea Pankki Suomi Oyj, as previously announced, has successfully engaged in forward contracts on Alma Media Corporation shares.",positive
"Even though the report about SINA is not accurate and has been proven false, the impact remains, and interest in it has declined.",neutral
Operating profit decreased primarily because of higher costs for wood and recycled fiber and a stronger euro.,neutral
"The facility created by Finland's Vaahto Group boasts an impressive capacity of 86,000 tons of high-quality light coated paper.",positive
$RAD I would consider this opportunity to add to my position because the company's sales are continuing to improve.,neutral
The low capacity utilization rate in steel production significantly raises the fixed costs per unit of steel produced.,neutral
RECAP: There was a rumor this morning about Microsoft potentially spinning off its Xbox unit. The stock gradually increased throughout the day and closed at its highest point.,neutral
Metso Minerals in Finland reports that the company's orders have increased to EUR 1.9 billion over the past 12 months.,neutral
The personnel's supposed expertise and overwhelming focus on technology seem to overshadow any real progress in Exel Composites' operations.,negative
"Coca-Cola maintained its position as the market leader among manufacturers with an impressive market share of 36.9%, showcasing its strength and resilience even with a slight dip of 2.2% from the corresponding period in 2004-2005.",positive
"Metsa-Botnia will retain a strategic 17.9% stake in Uruguayan companies, while Metsaliitto will maintain a 94.5% share.",positive
"Stock Exchange Release 10/3/2011 12:00: Sanoma is pleased to announce the release of its Annual Report and Financial Statements for 2010, along with its inaugural Corporate Responsibility Report.",positive
"Following the takeover, Cramo will be the second largest rental services provider in the Latvian market.",neutral
"It projected revenue of $2.2 billion to $2.3 billion, which is marginally above analyst estimates of $2.19 billion.",neutral
$EXPE is progressing in its reversal pattern by breaking another downward trend and moving upward. https://t.co/76DSJysyR0,neutral
$AAPL is approaching a 3% drop; now the best option I have is to hold my shares.,neutral
"""I aim to contribute to SRV's success with my competence,"" says Taneli Hassinen.",neutral
"During the strike, Finnair estimates a net loss ranging from EUR 2 million to EUR 2.5 million per day.",neutral
The Oxyview Pulse Oximeter is an all-too-common device used to check patient blood-oxygen saturation level and pulse rate.,negative
"Through its partnership with Finnish Paulig's Danish subsidiary Oscar, Puljonki burdened itself with a sales organization in the European market.",negative
Finnish OKO Bank has entered into a cooperation agreement with Raiffeisen regarding Finnish companies' investments in Russia.,neutral
"The company, proudly employing 6,400 dedicated individuals, reported impressive net sales of 620 million euros ($823.2 million) for 2006.",positive
"According to the original merger plan, Scanfil would enjoy a significant 79% stake in the combined business.",positive
"As a result, the company will temporarily lay off 25% of its workforce, which is approximately 270 employees at the Kirkkonummi and Nivala factories.",neutral
"Previously, Grimaldi proudly held a 46.43% stake in the Finnish company after successfully launching a takeover bid in November 2006.",positive
"An unfortunate increase of 85,432.50 euros in Ahlstrom's share capital has been regrettably recorded in the Trade Register today.",negative
Related links: Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the less detailed of the two versions of this press release.,negative
"The fair value of the investment properties totaled EUR 2,534.9 million, compared to EUR 2,455.1 million in 2006.",neutral
Raute Corporation has received orders totaling over EUR 12 million from OOO Ilim Bratsk DOK in Russia.,neutral
The ISO certification indicates progress in our quality commitments to our customers.,neutral
The Group's business is supported by its diverse portfolio of sports and its presence in all major markets.,neutral
Finnish forest industry group Stora Enso Oyj announced on Thursday (20 March) a profit warning for the first quarter of 2008.,neutral
Ruukki's order book at the end of 2010 increased by 30% year-on-year and 10% quarter-on-quarter.,neutral
"KIOR: The market is experiencing significant drops today. It's advisable to hold for now, as it may recover somewhat tomorrow.",neutral
Metsaliitto reported that it will register a small gain of less than EUR 1.0 million from the transaction.,neutral
$SONC has seen a significant increase since the middle of March - it seems that the quality and tastiness of their burgers are not influencing this price rise.,neutral
OKO stated that cost savings are projected to increase to approximately 20 million euros annually starting in 2007.,neutral
"The company announced in a statement to Lesprom Network that the order includes all the production lines for a plywood mill, highlighting a significant achievement.",positive
"Equipment will be expertly crafted at Vaahto's outstanding workshop in Hollola, Finland, and is eagerly anticipated for shipment in the first quarter of 2009.",positive
"In Finland, insurance company Pohjola and the Finnish motorcyclist association have signed an agreement to enhance motorcyclists' traffic safety.",neutral
The board of directors is pleased to announce a proposed dividend of EUR 0.20 per outstanding share.,positive
"In the second quarter of 2010, the group's net profit increased to EUR 3.1 million from EUR 2.5 million in April-June 2009.",neutral
"Exports accounted for 65.4% of net sales, reaching the highest percentage in the company's history.",neutral
"According to Nordea's analyst Sami Sarkamies, this makes Nokia's portfolio competitive again.",neutral
"Profit for the period plummeted to EUR 0.8 mn, a significant drop from EUR 1.1 mn in the same period in 2008.",negative
"Elisa reported that mobile subscriptions increased by 7 percent in 2007, primarily due to customers adopting third-generation mobile technology.",neutral
"In Q2 of 2009, profit before taxes was EUR 13.6 million, compared to EUR 26.8 million in Q2 of 2008.",neutral
SRV will increase its ownership in the company to achieve a majority by the summer of 2008.,neutral
"Kesko provides Hilton with an exciting opportunity to open a hotel on Kalininsky Prospect in a spacious 18,000-square meter building.",positive
"As a result of these negotiations, the company has decided to lay off 45 employees due to financial and production reasons.",neutral
"Starting today, the new B shares come with exciting dividend benefits and full shareholder rights.",positive
